PITCode,SurveyDate,SurveyYear,FLength,Bin,Season,SampleNum,ScaleFinalAge,Aged,Age,Notes
3DD.0077530944,5/6/2015,2015,82,80,Spring,,,Unaged,,
3DD.00775361FD,5/8/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077531D9F,5/9/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077539346,5/9/2015,2015,82,80,Spring,,,Unaged,,
3DD.00775313AB,5/10/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077530F88,5/12/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077537500,5/12/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077703570,5/16/2015,2015,82,80,Spring,,,Unaged,,
3DD.00776E8BC8,5/17/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077703767,5/17/2015,2015,82,80,Spring,,,Unaged,,
3DD.00776FCBCC,5/19/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077704BAC,5/19/2015,2015,82,80,Spring,,,Unaged,,
3DD.007770EA06,5/19/2015,2015,82,80,Spring,15-68364,1:0,Aged,1,
3DD.00776F745F,5/26/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077534676,4/7/2015,2015,83,80,Spring,,,Unaged,,
3DD.0077530830,4/23/2015,2015,83,80,Spring,,,Unaged,,
3DD.007752CF68,4/24/2015,2015,83,80,Spring,,,Unaged,,
3DD.0077544424,4/24/2015,2015,83,80,Spring,15-68266,1:0,Aged,1,
3DD.00775311B4,5/10/2015,2015,83,80,Spring,,,Unaged,,
3DD.007752FFA5,5/12/2015,2015,83,80,Spring,15-68337,1:0,Aged,1,
3DD.0077539255,5/13/2015,2015,83,80,Spring,15-68340,1:0,Aged,1,
3DD.00775306E0,5/14/2015,2015,83,80,Spring,15-68347,1:0,Aged,1,
3DD.0077705BD6,5/16/2015,2015,83,80,Spring,,,Unaged,,
3DD.007770BFA3,5/18/2015,2015,83,80,Spring,,,Unaged,,
3DD.0077703A48,5/19/2015,2015,83,80,Spring,,,Unaged,,
3DD.007770B20D,5/19/2015,2015,83,80,Spring,,,Unaged,,
3DD.007753022C,4/13/2015,2015,84,80,Spring,,,Unaged,,
3DD.00775389FB,4/20/2015,2015,84,80,Spring,,,Unaged,,
3DD.00775323A5,4/22/2015,2015,84,80,Spring,,,Unaged,,
3DD.0077531DDB,4/27/2015,2015,84,80,Spring,,,Unaged,,
3DD.0077536532,4/29/2015,2015,84,80,Spring,,,Unaged,,
3DD.0077527D78,5/1/2015,2015,84,80,Spring,,,Unaged,,
3DD.0077530480,5/2/2015,2015,84,80,Spring,15-68292,1:0,Aged,1,
3DD.0077536879,5/3/2015,2015,84,80,Spring,,,Unaged,,
3DD.0077536AE2,5/3/2015,2015,84,80,Spring,,,Unaged,,
3DD.00775367AA,5/5/2015,2015,84,80,Spring,,,Unaged,,
3DD.00775305CF,5/6/2015,2015,84,80,Spring,,,Unaged,,
3DD.00776E8D03,5/15/2015,2015,84,80,Spring,15-68350,1:0,Aged,1,
3DD.007770EA28,5/15/2015,2015,84,80,Spring,,,Unaged,,
3DD.00776FEFDD,5/17/2015,2015,84,80,Spring,,,Unaged,,
3DD.007770D656,5/20/2015,2015,84,80,Spring,,,Unaged,,
3DD.00776FB559,5/21/2015,2015,84,80,Spring,,,Unaged,,
3DD.00776EA9E3,5/27/2015,2015,84,80,Spring,15-68372,1:0,Aged,1,
3DD.007752C58C,3/22/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077533EFD,3/31/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077532ECC,4/2/2015,2015,85,80,Spring,15-68224,1:0,Aged,1,
3DD.00775305ED,4/19/2015,2015,85,80,Spring,,,Unaged,,
3DD.007752D2F1,4/20/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077529A81,4/22/2015,2015,85,80,Spring,,,Unaged,,
3DD.007752B58D,4/22/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077536CCF,4/27/2015,2015,85,80,Spring,,,Unaged,,
3DD.00775311D4,5/1/2015,2015,85,80,Spring,,,Unaged,,
3DD.00775298CC,5/2/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077531692,5/3/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077533CE2,5/3/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077533BDA,5/4/2015,2015,85,80,Spring,,,Unaged,,
3DD.007753534C,5/4/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077530648,5/8/2015,2015,85,80,Spring,,,Unaged,,
3DD.007752C31B,5/12/2015,2015,85,80,Spring,15-68333,1:0,Aged,1,
3DD.007752C4A5,5/12/2015,2015,85,80,Spring,,,Unaged,,
3DD.00775330D5,5/12/2015,2015,85,80,Spring,,,Unaged,,
3DD.007752FF51,5/13/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077535FD6,5/13/2015,2015,85,80,Spring,,,Unaged,,
3DD.00775393E3,5/13/2015,2015,85,80,Spring,,,Unaged,,
3DD.00776EA6AD,5/19/2015,2015,85,80,Spring,,,Unaged,,
3DD.0077551CD1,3/23/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077530E28,4/12/2015,2015,86,80,Spring,,,Unaged,,
3DD.00775390EE,4/23/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077531D5F,4/27/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077533947,5/2/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077534BDC,5/2/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077532FFC,5/4/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077538B16,5/10/2015,2015,86,80,Spring,,,Unaged,,
3DD.007752DC87,5/11/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077538ED0,5/13/2015,2015,86,80,Spring,,,Unaged,,
3DD.00776FFFC7,5/15/2015,2015,86,80,Spring,,,Unaged,,
3DD.00777033E6,5/15/2015,2015,86,80,Spring,,,Unaged,,
3DD.00776FDC89,5/16/2015,2015,86,80,Spring,,,Unaged,,
3DD.00776EA778,5/17/2015,2015,86,80,Spring,,,Unaged,,
3DD.00776F2AFC,5/17/2015,2015,86,80,Spring,,,Unaged,,
3DD.00777041AB,5/19/2015,2015,86,80,Spring,,,Unaged,,
3DD.00776FB12B,5/26/2015,2015,86,80,Spring,,,Unaged,,
3DD.0077535F02,4/21/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077538C99,4/27/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077530E26,4/30/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077534EB1,5/4/2015,2015,87,80,Spring,,,Unaged,,
3DD.007754C102,5/5/2015,2015,87,80,Spring,,,Unaged,,
3DD.00775327DD,5/8/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077537A79,5/8/2015,2015,87,80,Spring,,,Unaged,,
3DD.007753169A,5/9/2015,2015,87,80,Spring,15-68321,1:0,Aged,1,
3DD.00775307D1,5/10/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077529A71,5/12/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077530615,5/12/2015,2015,87,80,Spring,,,Unaged,,
3DD.00775357CA,5/12/2015,2015,87,80,Spring,,,Unaged,,
3DD.00775366BA,5/12/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077534347,5/13/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077538800,5/13/2015,2015,87,80,Spring,,,Unaged,,
3DD.00776FCDC6,5/17/2015,2015,87,80,Spring,,,Unaged,,
3DD.00776FB572,5/18/2015,2015,87,80,Spring,,,Unaged,,
3DD.00776F96CD,5/19/2015,2015,87,80,Spring,,,Unaged,,
3DD.0077538A40,4/15/2015,2015,88,80,Spring,15-68239,1:0,Aged,1,
3DD.0077546E57,4/18/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077534ED3,4/19/2015,2015,88,80,Spring,,,Unaged,,
3DD.007753086F,4/20/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077534C8A,4/20/2015,2015,88,80,Spring,,,Unaged,,
3DD.007753736A,4/20/2015,2015,88,80,Spring,,,Unaged,,
3DD.007752FC5C,4/30/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077539092,4/30/2015,2015,88,80,Spring,,,Unaged,,
3DD.007754EE68,4/30/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077538199,5/1/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077530E41,5/2/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077533124,5/2/2015,2015,88,80,Spring,,,Unaged,,
3DD.007752FCB6,5/3/2015,2015,88,80,Spring,,,Unaged,,
3DD.007753890C,5/9/2015,2015,88,80,Spring,,,Unaged,,
3DD.00776E82DD,5/15/2015,2015,88,80,Spring,,,Unaged,,
3DD.00776ED74E,5/17/2015,2015,88,80,Spring,15-68354,1:0,Aged,1,
3DD.00776FAE24,5/17/2015,2015,88,80,Spring,,,Unaged,,
3DD.007770EBC2,5/17/2015,2015,88,80,Spring,,,Unaged,,
3DD.007770E9DB,5/18/2015,2015,88,80,Spring,,,Unaged,,
3DD.00776F2CCB,5/26/2015,2015,88,80,Spring,,,Unaged,,
3DD.0077530660,3/28/2015,2015,89,80,Spring,,,Unaged,,
3DD.007752DD99,4/23/2015,2015,89,80,Spring,15-68261,1:0,Aged,1,
3DD.0077530826,4/24/2015,2015,89,80,Spring,,,Unaged,,
3DD.00775382A3,4/24/2015,2015,89,80,Spring,,,Unaged,,
3DD.00775389C6,4/24/2015,2015,89,80,Spring,,,Unaged,,
3DD.007752A907,4/29/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077538999,5/4/2015,2015,89,80,Spring,15-68304,1:0,Aged,1,
3DD.0077536139,5/7/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077529AAA,5/9/2015,2015,89,80,Spring,,,Unaged,,
3DD.00775310BA,5/11/2015,2015,89,80,Spring,15-68329,1:0,Aged,1,
3DD.0077532AB9,5/11/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077537CE8,5/11/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077535288,5/12/2015,2015,89,80,Spring,15-68332,1:0,Aged,1,
3DD.00775366D2,5/12/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077529A89,5/13/2015,2015,89,80,Spring,,,Unaged,,
3DD.00776EDD34,5/16/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077707DAB,5/16/2015,2015,89,80,Spring,15-68351,1:0,Aged,1,
3DD.00776FE9DC,5/17/2015,2015,89,80,Spring,,,Unaged,,
3DD.00776F3920,5/18/2015,2015,89,80,Spring,,,Unaged,,
3DD.0077538922,4/22/2015,2015,90,90,Spring,,,Unaged,,
3DD.0077513ACB,4/23/2015,2015,90,90,Spring,,,Unaged,,
3DD.0077532DB8,4/24/2015,2015,90,90,Spring,,,Unaged,,
3DD.007752C3EF,4/29/2015,2015,90,90,Spring,,,Unaged,,
3DD.007752CFA1,4/29/2015,2015,90,90,Spring,,,Unaged,,
3DD.007753704E,5/3/2015,2015,90,90,Spring,,,Unaged,,
3DD.007753949A,5/3/2015,2015,90,90,Spring,,,Unaged,,
3DD.007753812B,5/9/2015,2015,90,90,Spring,,,Unaged,,
3DD.00775387FD,5/11/2015,2015,90,90,Spring,,,Unaged,,
3DD.007752C487,5/13/2015,2015,90,90,Spring,,,Unaged,,
3DD.00775307D2,5/13/2015,2015,90,90,Spring,,,Unaged,,
3DD.0077536D1F,5/13/2015,2015,90,90,Spring,,,Unaged,,
3DD.00775352C8,5/14/2015,2015,90,90,Spring,15-68346,1:0,Aged,1,
3DD.0077532912,5/15/2015,2015,90,90,Spring,,,Unaged,,
3DD.007770AA43,5/21/2015,2015,90,90,Spring,,,Unaged,,
384.3B23A07FED,3/16/2015,2015,91,90,Spring,,,Unaged,,
3DD.007753220F,3/25/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077524254,4/20/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077535F50,4/23/2015,2015,91,90,Spring,,,Unaged,,
3DD.007753067F,4/26/2015,2015,91,90,Spring,15-68269,1:0,Aged,1,
3DD.0077532301,4/29/2015,2015,91,90,Spring,15-68278,1:0,Aged,1,
3DD.0077539602,5/1/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077533EF9,5/3/2015,2015,91,90,Spring,15-68297,1:0,Aged,1,
3DD.007753658B,5/3/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077530E7B,5/5/2015,2015,91,90,Spring,,,Unaged,,
3DD.00775575F6,5/6/2015,2015,91,90,Spring,15-68311,1:0,Aged,1,
3DD.0077530218,5/7/2015,2015,91,90,Spring,,,Unaged,,
3DD.007752FC19,5/9/2015,2015,91,90,Spring,,,Unaged,,
3DD.007752D33E,5/11/2015,2015,91,90,Spring,,,Unaged,,
3DD.007752F164,5/11/2015,2015,91,90,Spring,,,Unaged,,
3DD.007752FDAA,5/11/2015,2015,91,90,Spring,,,Unaged,,
3DD.007753416E,5/12/2015,2015,91,90,Spring,,,Unaged,,
3DD.007753433F,5/12/2015,2015,91,90,Spring,,,Unaged,,
3DD.007753109A,5/13/2015,2015,91,90,Spring,15-68343,1:0,Aged,1,
3DD.0077534B28,5/13/2015,2015,91,90,Spring,,,Unaged,,
3DD.00775388F8,5/13/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077529CBC,5/14/2015,2015,91,90,Spring,,,Unaged,,
3DD.00776EA14D,5/15/2015,2015,91,90,Spring,15-68349,1:0,Aged,1,
3DD.00777025AC,5/18/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077706710,5/19/2015,2015,91,90,Spring,,,Unaged,,
3DD.0077530E18,4/3/2015,2015,92,90,Spring,,,Unaged,,
3DD.007752A784,4/19/2015,2015,92,90,Spring,,,Unaged,,
3DD.007752FE64,4/19/2015,2015,92,90,Spring,,,Unaged,,
3DD.00775373C5,4/19/2015,2015,92,90,Spring,,,Unaged,,
3DD.0077532EB9,5/2/2015,2015,92,90,Spring,15-68291,1:0,Aged,1,
3DD.0077529B81,5/3/2015,2015,92,90,Spring,,,Unaged,,
3DD.0077546812,5/3/2015,2015,92,90,Spring,,,Unaged,,
3DD.007752A5E0,5/8/2015,2015,92,90,Spring,,,Unaged,,
3DD.0077538FC8,5/10/2015,2015,92,90,Spring,,,Unaged,,
3DD.00775532C7,5/10/2015,2015,92,90,Spring,,,Unaged,,
3DD.007753614C,5/11/2015,2015,92,90,Spring,,,Unaged,,
3DD.0077538E88,5/12/2015,2015,92,90,Spring,,,Unaged,,
3DD.007752B3D2,5/13/2015,2015,92,90,Spring,,,Unaged,,
3DD.00775348F3,5/13/2015,2015,92,90,Spring,,,Unaged,,
3DD.0077535717,5/14/2015,2015,92,90,Spring,,,Unaged,,
3DD.00775391EA,5/14/2015,2015,92,90,Spring,,,Unaged,,
3DD.007752F13D,5/15/2015,2015,92,90,Spring,15-68348,1:0,Aged,1,
3DD.007770F42E,5/17/2015,2015,92,90,Spring,15-68355,1:0,Aged,1,
3DD.00776EC585,5/19/2015,2015,92,90,Spring,,,Unaged,,
3DD.00776EEB2D,5/23/2015,2015,92,90,Spring,,,Unaged,,
3DD.00776F716A,5/23/2015,2015,92,90,Spring,,,Unaged,,
3DD.0077522C1D,4/19/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077538B4A,4/20/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077534A03,4/21/2015,2015,93,90,Spring,,,Unaged,,
3DD.007752D22F,4/22/2015,2015,93,90,Spring,15-68254,1:0,Aged,1,
3DD.00775313F7,4/24/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077531DEF,4/24/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077537FCC,4/24/2015,2015,93,90,Spring,,,Unaged,,
3DD.007752C4D9,4/25/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077532996,4/27/2015,2015,93,90,Spring,,,Unaged,,
3DD.007753233D,4/29/2015,2015,93,90,Spring,,,Unaged,,
3DD.007752FD2F,5/3/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077533637,5/3/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077534C78,5/10/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077533961,5/12/2015,2015,93,90,Spring,,,Unaged,,
3DD.00776F476A,5/17/2015,2015,93,90,Spring,,,Unaged,,
3DD.00776F636A,5/17/2015,2015,93,90,Spring,,,Unaged,,
3DD.00776EC149,6/2/2015,2015,93,90,Spring,,,Unaged,,
3DD.0077532014,3/21/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077533341,4/14/2015,2015,94,90,Spring,,,Unaged,,
3DD.00775392E7,4/20/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077537318,4/21/2015,2015,94,90,Spring,,,Unaged,,
3DD.00775513C2,4/26/2015,2015,94,90,Spring,,,Unaged,,
3DD.007752A763,4/29/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077537594,4/30/2015,2015,94,90,Spring,,,Unaged,,
3DD.00775303E6,5/3/2015,2015,94,90,Spring,15-68296,1:0,Aged,1,
3DD.0077536F5B,5/3/2015,2015,94,90,Spring,,,Unaged,,
3DD.00775307CC,5/4/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077536F94,5/4/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077538989,5/7/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077530849,5/11/2015,2015,94,90,Spring,,,Unaged,,
3DD.007753706A,5/12/2015,2015,94,90,Spring,,,Unaged,,
3DD.007753042C,5/13/2015,2015,94,90,Spring,,,Unaged,,
3DD.00775385ED,5/14/2015,2015,94,90,Spring,,,Unaged,,
3DD.00776F6CF6,5/20/2015,2015,94,90,Spring,,,Unaged,,
3DD.007770753E,5/22/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077701EA3,5/26/2015,2015,94,90,Spring,15-68370,1:0,Aged,1,
3DD.00776FD90F,5/27/2015,2015,94,90,Spring,,,Unaged,,
3DD.0077530190,4/24/2015,2015,95,90,Spring,,,Unaged,,
3DD.007751D1BF,4/27/2015,2015,95,90,Spring,,,Unaged,,
3DD.007752B767,4/30/2015,2015,95,90,Spring,15-68279,1:0,Aged,1,
3DD.007752681B,5/3/2015,2015,95,90,Spring,,,Unaged,,
3DD.007752C2F6,5/4/2015,2015,95,90,Spring,,,Unaged,,
3DD.0077532921,5/4/2015,2015,95,90,Spring,,,Unaged,,
3DD.0077552ABB,5/6/2015,2015,95,90,Spring,,,Unaged,,
3DD.0077525F95,5/7/2015,2015,95,90,Spring,,,Unaged,,
3DD.007752E944,5/8/2015,2015,95,90,Spring,,,Unaged,,
3DD.0077531A5A,5/8/2015,2015,95,90,Spring,,,Unaged,,
3DD.007752A854,5/9/2015,2015,95,90,Spring,,,Unaged,,
3DD.0077530711,5/9/2015,2015,95,90,Spring,,,Unaged,,
3DD.007752E7E3,5/12/2015,2015,95,90,Spring,,,Unaged,,
3DD.007752DDA3,5/13/2015,2015,95,90,Spring,15-68339,1:0,Aged,1,
3DD.00775379EC,5/13/2015,2015,95,90,Spring,,,Unaged,,
3DD.00776FF1A7,5/15/2015,2015,95,90,Spring,,,Unaged,,
3DD.00776E8F7C,5/16/2015,2015,95,90,Spring,,,Unaged,,
3DD.00776F7848,5/16/2015,2015,95,90,Spring,,,Unaged,,
3DD.00777039B0,5/16/2015,2015,95,90,Spring,,,Unaged,,
3DD.007770407A,5/16/2015,2015,95,90,Spring,15-68353,1:0,Aged,1,
3DD.00776E82DA,5/18/2015,2015,95,90,Spring,,,Unaged,,
3DD.00776E97A8,5/18/2015,2015,95,90,Spring,,,Unaged,,
3DD.007770C182,5/18/2015,2015,95,90,Spring,,,Unaged,,
3DD.00776EDFAF,5/19/2015,2015,95,90,Spring,,,Unaged,,
3DD.0077700CE6,5/22/2015,2015,95,90,Spring,,,Unaged,,
3DD.00775322E5,4/19/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077534162,4/20/2015,2015,96,90,Spring,15-68248,1:0,Aged,1,
3DD.0077531103,4/22/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077529CB9,4/24/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077534E81,4/24/2015,2015,96,90,Spring,,,Unaged,,
3DD.007752A5DB,4/28/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077538177,4/29/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077525F92,5/1/2015,2015,96,90,Spring,,,Unaged,,
3DD.00775362B1,5/1/2015,2015,96,90,Spring,15-68289,1:0,Aged,1,
3DD.0077532911,5/2/2015,2015,96,90,Spring,,,Unaged,,
3DD.007752CFD7,5/3/2015,2015,96,90,Spring,15-68300,1:0,Aged,1,
3DD.007752A761,5/8/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077538E5D,5/11/2015,2015,96,90,Spring,,,Unaged,,
3DD.0077533826,5/12/2015,2015,96,90,Spring,15-68336,1:0,Aged,1,
3DD.00776FA59F,5/16/2015,2015,96,90,Spring,15-68352,1:0,Aged,1,
3DD.00775375FA,4/14/2015,2015,97,90,Spring,,,Unaged,,
3DD.007752FBA5,4/20/2015,2015,97,90,Spring,15-68249,1:0,Aged,1,
3DD.007753224D,4/24/2015,2015,97,90,Spring,,,Unaged,,
3DD.0077538BDB,4/25/2015,2015,97,90,Spring,,,Unaged,,
3DD.007753908B,5/5/2015,2015,97,90,Spring,,,Unaged,,
3DD.0077527D2F,5/8/2015,2015,97,90,Spring,,,Unaged,,
3DD.007755116B,5/9/2015,2015,97,90,Spring,,,Unaged,,
3DD.0077529A79,5/11/2015,2015,97,90,Spring,,,Unaged,,
3DD.0077529B70,5/11/2015,2015,97,90,Spring,15-68328,1:0,Aged,1,
3DD.007752DE08,5/12/2015,2015,97,90,Spring,15-68334,1:0,Aged,1,
3DD.0077534BDF,5/12/2015,2015,97,90,Spring,,,Unaged,,
3DD.00776FCE92,5/21/2015,2015,97,90,Spring,,,Unaged,,
3DD.0077538982,3/27/2015,2015,98,90,Spring,,,Unaged,,
3DD.007752A831,4/10/2015,2015,98,90,Spring,,,Unaged,,
3DD.007752FF9E,4/22/2015,2015,98,90,Spring,15-68256,1:0,Aged,1,
3DD.0077531A58,4/22/2015,2015,98,90,Spring,15-68257,1:0,Aged,1,
3DD.00775301DC,4/24/2015,2015,98,90,Spring,,,Unaged,,
3DD.0077538228,4/27/2015,2015,98,90,Spring,,,Unaged,,
3DD.007753119B,4/29/2015,2015,98,90,Spring,,,Unaged,,
3DD.00775306A5,4/30/2015,2015,98,90,Spring,,,Unaged,,
3DD.00775323B6,4/30/2015,2015,98,90,Spring,15-68283,1:0,Aged,1,
3DD.0077537A7B,5/2/2015,2015,98,90,Spring,15-68293,1:0,Aged,1,
3DD.007752B644,5/3/2015,2015,98,90,Spring,,,Unaged,,
3DD.00775394FC,5/4/2015,2015,98,90,Spring,,,Unaged,,
3DD.0077537FDC,5/8/2015,2015,98,90,Spring,,,Unaged,,
3DD.007752B76E,5/10/2015,2015,98,90,Spring,15-68325,1:0,Aged,1,
3DD.00775351B2,5/10/2015,2015,98,90,Spring,,,Unaged,,
3DD.0077528A6D,5/11/2015,2015,98,90,Spring,15-68331,1:0,Aged,1,
3DD.0077530454,5/12/2015,2015,98,90,Spring,,,Unaged,,
3DD.00775301FB,5/13/2015,2015,98,90,Spring,,,Unaged,,
3DD.00776EBBDD,5/18/2015,2015,98,90,Spring,15-68358,1:0,Aged,1,
3DD.00776F1179,5/18/2015,2015,98,90,Spring,,,Unaged,,
3DD.00775483CF,4/20/2015,2015,99,90,Spring,,,Unaged,,
